;ipca;expfocus;crb;hiato;des;credibilidade;d1;d2;d3;d4;d5;d6;d7;d8;d9;d10;d11;selic;dcambio;tjlp_cdb;exprac;ipcacheio
fev/09;0,67;0,36;-0,44746209;-4,807997301;15,05246988;0;0;1;0;0;0;0;0;0;0;0;0;12,66;0,0053;-15,05246988;0,576738597;0,55
mar/09;0,23;0,33;0,174790632;-0,438086782;14,32617433;0,00E+00;0;0;1;0;0;0;0;0;0;0;0;11,7;0,0011;-14,32617433;0,289160634;0,2
abr/09;0,47;0,3;-0,737097944;-2,194737593;13,88650378;0;0;0;0;1;0;0;0;0;0;0;0;11,11;-0,1079;-13,88650378;0,756772699;0,48
mai/09;0,54;0,23;-3,059601235;-1,857715178;13,57398088;0;0;0;0;0;1;0;0;0;0;0;0;10,16;-0,145;-13,57398088;0,620046092;0,47
jun/09;0,42;0,33;-1,363462287;-1,5707377;13,30386083;0;0;0;0;0;0;1;0;0;0;0;0;9,54;-0,1033;-13,30386083;0,551639711;0,36
jul/09;0,1;0,3;-1,181418734;0,266217968;12,78739118;0;0;0;0;0;0;0;1;0;0;0;0;9,01;-0,0248;-12,78739118;0,447734133;0,24
ago/09;0,15;0,24;3,420587167;-0,115489921;12,45269562;0;0;0;0;0;0;0;0;1;0;0;0;8,65;-0,0876;-12,45269562;0,577222566;0,15
set/09;0,18;0,31;-8,001706929;-0,551572496;12,55716888;0;0;0;0;0;0;0;0;0;1;0;0;8,65;-0,0254;-12,55716888;0,558564918;0,24
out/09;0,22;0,34;2,528412992;0,190791104;12,55951606;0;0;0;0;0;0;0;0;0;0;1;0;8,65;-0,0814;-12,55951606;0,453375341;0,28
nov/09;0,42;0,39;6,901767248;-0,901062018;12,52960047;0,00E+00;0;0;0;0;0;0;0;0;0;0;1;8,65;-0,0122;-12,52960047;0,433133374;0,41
dez/09;0,31;0,49;1,042678946;-1,177791879;12,22141942;0;0;0;0;0;0;0;0;0;0;0;0;8,65;0,0241;-12,22141942;0,301906267;0,37
jan/10;0,72;0,54;6,230856171;-2,48992654;12,0111305;0;1;0;0;0;0;0;0;0;0;0;0;8,65;0,0295;-12,0111305;0,88886063;0,75
fev/10;0,93;0,35;-0,606183636;-2,021280151;12,24149202;0,00E+00;0;1;0;0;0;0;0;0;0;0;0;8,65;0,0618;-12,24149202;0,786329918;0,78
mar/10;0,8;0,38;-0,816925043;2,908598694;12,34295256;0;0;0;1;0;0;0;0;0;0;0;0;8,65;-0,0558;-12,34295256;0,662696635;0,52
abr/10;0,75;0,37;0,271135651;0,7241006;12,33911004;0;0;0;0;1;0;0;0;0;0;0;0;8,72;-0,0292;-12,33911004;0,757210762;0,57
mai/10;0,47;0,31;0,239910901;0,465517695;12,76794051;0;0;0;0;0;1;0;0;0;0;0;0;9,4;0,0566;-12,76794051;0,922278852;0,43
jun/10;-0,05;0,28;-2,230093865;0,182515729;13,3161493;0;0;0;0;0;0;1;0;0;0;0;0;9,94;-0,0067;-13,3161493;0,382891652;0
jul/10;-0,12;0,33;2,12121038;1,774314952;13,47810654;0;0;0;0;0;0;0;1;0;0;0;0;10,32;-0,0369;-13,47810654;0,488778818;0,01
ago/10;0,06;0,36;3,693731894;1,604782594;14,12748214;0;0;0;0;0;0;0;0;1;0;0;0;10,66;-0,01;-14,12748214;0,62501332;0,04
set/10;0,56;0,45;3,305327929;0,819363775;14,6703566;0;0;0;0;0;0;0;0;0;1;0;0;10,66;-0,0409;-14,6703566;0,670988002;0,45
out/10;0,94;0,49;0,995880283;0,642166294;14,98871723;0;0;0;0;0;0;0;0;0;0;1;0;10,66;-0,0352;-14,98871723;0,756822056;0,75
nov/10;1,04;0,51;-0,385407609;0,617245367;15,42888726;0;0;0;0;0;0;0;0;0;0;0;1;10,66;0,0298;-15,42888726;0,940649349;0,83
